mau 147
máu 153
mát 148
mất 155
mạt 127
mắt 153
mật 148
mặt 154
mầy 117
mây 149
mấy 155
mày 154
mảy 53
mạy 52
mẩy 52
may 154
máy 155
mạc 104
mắc 154
mặc 155
mác 143
rượu 145
mài 134
mải 131
mại 123
mai 153
mãi 155
mái 147
mầm 132
mâm 142
mậm 50
mẫm 50
mẩm 50
mắm 139
mám 50
măm 108
mào 120
mạo 122
mao 104
mão 51
máo 114
mấn 50
mần 140
mân 54
màn 155
mạn 123
mận 105
mẫn 107
mẩn 51
man 132
mặn 138
mắn 50
mẳn 49
mằn 55
mãn 135
trệch 53
sư 140
sú 50
sù 53
su 137
sự 155
sứ 125
sử 154
sụ 48
St 98
ghè 52
ghé 147
ghê 154
ghe 125
ghẽ 24
ghế 148
ghẹ 54
ghẻ 133
ghề 40
sì 121
si 139
sị 41
sỉ 133
sĩ 136
sơ 147
sò 106
sô 135
so 155
sớ 52
sỗ 54
sộ 23
sở 152
sờ 147
sồ 48
số 155
sổ 142
sỏ 51
sọ 121
sợ 154
sỡ 110
sã 44
sá 51
sa 143
sả 49
sạ 51
sà 55
ghì 49
ghi 154
sê 40
sè 54
se 149
sẽ 155
sệ 49
sẻ 138
sẹ 49
sề 119
giuộc 48
sướng 154
suồng 52
suông 119
sương 128
sượng 55
thánh 152
thanh 154
thành 155
thảnh 101
thằng 154
thẳng 152
tháng 155
thắng 153
thang 142
thăng 137
thặng 52
thảng 53
đoác 53
mail 153
xuyết 26
nôm 123
nộm 48
nờm 50
nom 53
nỡm 50
nồm 48
nơm 54
nòm 50
nôn 134
nộn 42
non 144
nón 129
nõn 54
nọn 17
nôi 117
nới 121
nội 154
nồi 146
nối 144
nổi 154
noi 146
nỗi 152
nói 155
nơi 153
nòi 54
liễn 50
liền 152
liến 55
liên 155
nốc 54
nóc 128
nọc 103
nớt 44
nột 49
nốt 148
nót 4
nọt 36
liệm 53
liềm 52
liếm 134
liêm 110
nớp 46
nộp 150
nóp 50
nợp 43
organ 25
liếp 54
rưới 49
rưởi 46
